bedrooms,property_type,locality,postal_code,kitchen,facades,price,furnished,terraceSurface,fireplace,buildingState,gardenSurface,pool,livingArea,surfaceOfThePlot,energy_certificate,province,buildingStateLabel
3.0,HOUSE,Brecht,2960.0,1.0,4.0,469000.0,0.0,0.0,1.0,TO_RENOVATE,0.0,0.0,153.0,1089.0,D,Antwerp,
2.0,HOUSE,HARELBEKE,8530.0,1.0,2.0,229000.0,0.0,14.0,0.0,JUST_RENOVATED,0.0,0.0,121.0,197.0,B,West Flanders,
3.0,HOUSE,RUISBROEK,1601.0,1.0,3.0,450000.0,0.0,10.0,0.0,JUST_RENOVATED,25.0,0.0,132.0,195.0,D,Flemish Brabant,
2.0,HOUSE,WAREGEM,8790.0,1.0,3.0,285000.0,0.0,53.0,0.0,GOOD,0.0,0.0,130.0,225.0,D,West Flanders,
3.0,APARTMENT,Evere,1140.0,1.0,3.0,299000.0,0.0,14.0,0.0,TO_RENOVATE,0.0,0.0,116.0,,E,Brussels,
3.0,HOUSE,Knokke-Heist,8300.0,1.0,4.0,3500000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,127.0,924.0,F,West Flanders,
0.0,APARTMENT,Molenbeek-Saint-Jean,1080.0,1.0,2.0,115000.0,0.0,10.0,0.0,TO_RENOVATE,0.0,0.0,40.0,,B,Brussels,
1.0,APARTMENT,Etterbeek,1040.0,1.0,2.0,195000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,50.0,,E,Brussels,
1.0,APARTMENT,Uccle,1180.0,1.0,2.0,260000.0,0.0,0.0,0.0,GOOD,0.0,0.0,75.0,,C,Brussels,
1.0,APARTMENT,Forest,1190.0,1.0,2.0,260000.0,0.0,0.0,0.0,GOOD,0.0,0.0,75.0,,C,Brussels,
6.0,HOUSE,LIER,2500.0,1.0,3.0,375000.0,0.0,35.0,0.0,TO_RENOVATE,370.0,0.0,201.0,929.0,F,Antwerp,
3.0,APARTMENT,Herstal,4040.0,1.0,2.0,149000.0,0.0,6.0,0.0,TO_BE_DONE_UP,0.0,0.0,89.0,,B,Liège,
3.0,HOUSE,Anzegem,8570.0,0.0,4.0,169000.0,0.0,0.0,0.0,GOOD,0.0,0.0,130.0,711.0,F,West Flanders,
1.0,APARTMENT,Auderghem,1160.0,1.0,2.0,215000.0,0.0,2.0,0.0,GOOD,0.0,0.0,51.0,,G,Brussels,
3.0,HOUSE,Brakel,9660.0,0.0,2.0,239000.0,0.0,0.0,0.0,,0.0,0.0,139.0,598.0,F,East Flanders,
4.0,HOUSE,Liège,4000.0,1.0,2.0,265000.0,0.0,5.0,0.0,TO_RENOVATE,100.0,0.0,207.0,192.0,C,Liège,
2.0,APARTMENT,Kraainem,1950.0,1.0,2.0,310000.0,0.0,3.0,0.0,TO_BE_DONE_UP,0.0,0.0,70.0,,E,Flemish Brabant,
2.0,APARTMENT,DEURNE,2100.0,1.0,2.0,189000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,85.0,,E,Antwerp,
2.0,APARTMENT,Lint,2547.0,0.0,3.0,225000.0,0.0,0.0,0.0,AS_NEW,0.0,0.0,70.0,,D,Antwerp,
2.0,APARTMENT,ANTWERPEN,2020.0,1.0,2.0,249000.0,0.0,0.0,0.0,GOOD,0.0,0.0,90.0,,D,Antwerp,
3.0,APARTMENT,LINT,2547.0,1.0,2.0,269000.0,0.0,0.0,0.0,GOOD,0.0,0.0,94.0,,B,Antwerp,
