"HOEGAARDEN","4,0%","","50.7791 4.8766","Hoegaarden"
"HOLSBEEK","3,4%","","50.93 4.815","Holsbeek"
"HULDENBERG","5,1%","","50.7897 4.6119","Huldenberg"
"KEERBERGEN","4,9%","","51.0052 4.6543","Keerbergen"
"KORTENAKEN","4,8%","","50.8895 5.0125","Kortenaken"
"KORTENBERG","5,1%","","50.89 4.5689","Kortenberg"
"LANDEN","5,4%","","50.7547 5.0617","Landen"
"LOUVAIN","10,0%","","50.8821 4.7058","Leuven"
"LUBBEEK","4,2%","","50.882 4.8287","Lubbeek"
"OUD-HEVERLEE","4,8%","","50.8215 4.7235","Oud-Heverlee"
"ROTSELAAR","4,3%","","50.957 4.757","Rotselaar"
"TERVUREN","5,9%","","50.831 4.558","Tervuren(3)"
"TIRLEMONT","8,7%","","50.808 4.936","Tienen"
"TREMELO","4,2%","","50.9992 4.7267","Tremelo"
"LEAU","4,9%","","50.8351 5.1011","Zoutleeuw"
"LINTER","4,3%","","50.822 5.043","Linter"
"MONTAIGU-ZICHEM","5,2%","","50.9995 4.962","Scherpenheuvel-Zichem"
"TIELT-WINGE","6,1%","","50.9215 4.8845","Tielt-Winge"
"GLABBEEK","4,7%","","50.867 4.9495","Glabbeek"
"BEAUVECHAIN","7,1%","","50.7761 4.7646","Bevekom"
"BRAINE-L'ALLEUD","7,0%","","50.6733 4.3547","Eigenbrakel"
"BRAINE-LE-CHATEAU","6,9%","","50.6795 4.2575","Kasteelbrakel"
"CHAUMONT-GISTOUX","6,6%","","50.6875 4.6975","Chaumont-Gistoux"
"COURT-SAINT-ETIENNE","8,7%","","50.6265 4.5626","Court-Saint-Etienne"
"GENAPPE","8,0%","","50.6101 4.4563","Genepiën"
"GREZ-DOICEAU","6,7%","","50.7483 4.688","Graven"
"INCOURT","6,8%","","50.6991 4.7814","Incourt"
"ITTRE","6,0%","","50.6426 4.2578","Itter"
"JODOIGNE","9,3%","","50.7283 4.8604","Geldenaken"
"LA HULPE","8,1%","","50.7363 4.4646","Terhulpen"
