iter	Passed	Remaining
620	3346	4736
621	3351	4731
622	3356	4724
623	3361	4719
624	3367	4714
625	3372	4708
626	3378	4703
627	3384	4699
628	3389	4692
629	3394	4687
630	3398	4680
631	3403	4673
632	3407	4667
633	3412	4661
634	3416	4653
635	3421	4648
636	3426	4642
637	3429	4633
638	3432	4625
639	3436	4617
640	3439	4609
641	3442	4601
642	3446	4593
643	3449	4584
644	3453	4578
645	3458	4572
646	3462	4565
647	3467	4558
648	3470	4550
649	3473	4542
650	3478	4535
651	3482	4530
652	3487	4523
653	3492	4517
654	3497	4511
655	3500	4503
656	3504	4496
657	3509	4490
658	3513	4483
659	3518	4477
660	3521	4470
661	3526	4463
662	3530	4457
663	3535	4451
664	3539	4444
665	3544	4439
666	3550	4434
667	3555	4428
668	3560	4422
669	3565	4416
670	3570	4411
671	3575	4406
672	3580	4399
673	3585	4394
674	3589	4386
675	3594	4381
676	3600	4376
677	3604	4370
678	3609	4364
679	3613	4357
680	3617	4350
681	3622	4344
682	3626	4337
683	3631	4331
684	3636	4326
685	3640	4320
686	3646	4314
687	3652	4310
688	3658	4306
689	3664	4301
690	3670	4296
691	3675	4291
692	3680	4286
693	3685	4280
694	3690	4274
695	3695	4268
696	3699	4261
697	3703	4255
698	3709	4250
699	3713	4244
700	3718	4238
701	3721	4230
702	3728	4226
703	3731	4219
704	3736	4213
705	3742	4208
706	3746	4202
707	3750	4195
708	3756	4190
709	3761	4185
710	3766	4179
711	3771	4174
712	3777	4169
713	3782	4163
714	3785	4155
715	3790	4150
716	3795	4145
717	3800	4139
718	3806	4134
719	3812	4130
720	3818	4125
721	3822	4119
722	3827	4113
723	3832	4108
724	3837	4102
725	3843	4097
726	3847	4090
727	3850	4083
728	3855	4077
729	3860	4072
730	3864	4065
731	3870	4060
732	3876	4055
733	3880	4049
734	3885	4044
735	3896	4044
736	3907	4045
737	3920	4048
738	3933	4050
739	3943	4050
740	3952	4048
741	3961	4046
742	3970	4045
743	3976	4040
744	3985	4038
745	3993	4035
746	4001	4033
747	4008	4029
748	4015	4026
749	4020	4020
750	4027	4016
751	4033	4011
752	4037	4004
753	4042	4000
754	4048	3994
755	4052	3988
756	4058	3983
757	4062	3976
758	4065	3968
759	4070	3963
760	4074	3957
761	4079	3951
762	4083	3944
763	4088	3938
764	4092	3931
765	4097	3926
766	4103	3921
767	4107	3915
768	4113	3910
769	4118	3904
770	4121	3897
771	4126	3891
772	4130	3885
773	4133	3877
774	4139	3872
775	4143	3866
776	4147	3859
777	4151	3853
778	4156	3846
779	4161	3841
780	4165	3835
781	4172	3830
782	4179	3827
783	4185	3822
784	4191	3818
785	4197	3813
786	4203	3808
787	4209	3803
788	4214	3797
789	4220	3793
790	4226	3788
791	4228	3779
792	4232	3773
793	4237	3767
794	4243	3763
795	4262	3769
796	4278	3774
797	4291	3775
798	4304	3776
799	4316	3776
800	4329	3777
801	4343	3780
802	4351	3777
803	4360	3774
804	4366	3769
805	4373	3766
806	4380	3761
807	4385	3755
808	4391	3750
809	4394	3743
810	4398	3736
811	4404	3731
812	4409	3725
813	4413	3719
814	4420	3715
815	4425	3709
816	4430	3703
817	4435	3698
818	4440	3692
819	4445	3686
820	4451	3681
821	4456	3675
822	4462	3670
823	4468	3665
824	4473	3660
825	4476	3652
826	4481	3646
827	4487	3641
828	4490	3634
829	4496	3629
830	4501	3623
831	4506	3618
832	4512	3613
833	4518	3608
834	4523	3602
835	4528	3596
836	4532	3590
837	4536	3584
838	4542	3578
839	4547	3573
840	4553	3567
841	4559	3562
842	4564	3557
843	4570	3552
844	4575	3546
845	4580	3541
846	4586	3535
847	4591	3530
848	4597	3525
849	4602	3519
850	4609	3515
851	4614	3509
852	4619	3503
853	4625	3498
854	4629	3492
855	4635	3487
856	4640	3482
857	4647	3477
858	4653	3472
859	4656	3465
860	4661	3459
861	4663	3451
862	4668	3445
863	4674	3440
864	4679	3435
865	4684	3429
866	4688	3423
867	4692	3416
868	4697	3410
869	4703	3405
870	4706	3398
871	4710	3392
872	4716	3387
873	4720	3381
874	4725	3375
875	4732	3370
876	4738	3365
877	4743	3360
878	4749	3355
879	4752	3348
880	4757	3342
881	4763	3337
882	4768	3332
883	4773	3326
884	4778	3320
885	4783	3315
886	4787	3308
887	4792	3302
888	4797	3297
889	4802	3291
890	4808	3286
891	4811	3279
892	4816	3274
893	4822	3269
894	4828	3263
